Comment,Designator,Footprint,LCSC,Quantity
1N4148,"D1,D10,D12,D13,D14,D15,D16,D17,D2,D20,D21,D23,D24,D25,D26,D27,D3,D30,D31,D32,D34,D35,D36,D37,D4,D40,D41,D42,D43,D45,D46,D47,D5,D50,D51,D52,D53,D54,D56,D57,D6,D60,D61,D62,D63,D64,D65,D7,DI0,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DS0,DS1,DS2,DS3,DS4,DS5,DS6,DS7",D_SOD-323,C2128,64
SK6812MINI,"L1,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L2,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L3,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L4,L40,L41,L42,L43,L44,L45,L46,L47,L48,L5,L6,L7,L8,L9",SK6812_mini_e_corners,C5149201,48
~,H8,MountingHole_2.2mm_M2,,1
~,H7,MountingHole_2.2mm_M2,,1
~,H6,MountingHole_2.2mm_M2,,1
~,H5,MountingHole_2.2mm_M2,,1
~,H4,MountingHole_2.2mm_M2,,1
~,H3,MountingHole_2.2mm_M2,,1
~,H2,MountingHole_2.2mm_M2,,1
~,H1,MountingHole_2.2mm_M2,,1
XIAO-RP2040,M1,XIAO-RP2040,,1
SW_Push,RC6-2,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-4,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC6-5,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-0,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-6,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-3,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC6-1,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC6-4,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-4,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-7,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-1,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-6,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-3,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-5,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-2,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-6,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-3,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-1,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-5,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-2,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-7,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC6-3,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-1,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-4,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-6,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-1,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-3,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-3,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC1-2,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-7,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-1,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-4,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-7,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-5,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-0,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC6-0,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-0,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-2,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-7,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC2-5,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-2,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC4-0,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-4,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-7,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-6,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC3-0,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC0-5,gateron-ks27-choc-v1-hotswap,,1
SW_Push,RC5-6,gateron-ks27-choc-v1-hotswap,,1
