Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-323,53.34,-86.36,10.0,bottom
D10,1N4148,D_SOD-323,57.15,-67.31,10.0,bottom
D12,1N4148,D_SOD-323,71.12,-97.79,10.0,bottom
D13,1N4148,D_SOD-323,88.9,-108.9,10.0,bottom
D14,1N4148,D_SOD-323,211.4,-56.7,350.0,bottom
D15,1N4148,D_SOD-323,214.7,-75.6,350.0,bottom
D16,1N4148,D_SOD-323,218.1,-94.4,350.0,bottom
D17,1N4148,D_SOD-323,173.76,-115.062,180.0,bottom
D2,1N4148,D_SOD-323,53.2,-103.6,10.0,bottom
D20,1N4148,D_SOD-323,78.1,-61.142331,10.0,bottom
D21,1N4148,D_SOD-323,74.8,-80.01,10.0,bottom
D23,1N4148,D_SOD-323,110.49,-102.87,10.0,bottom
D24,1N4148,D_SOD-323,228.6,-44.4,350.0,bottom
D25,1N4148,D_SOD-323,231.8,-62.8,350.0,bottom
D26,1N4148,D_SOD-323,235.2,-81.5,350.0,bottom
D27,1N4148,D_SOD-323,221.4,-113.0,350.0,bottom
D3,1N4148,D_SOD-323,69.3,-110.307669,10.0,bottom
D30,1N4148,D_SOD-323,97.7,-59.69,10.0,bottom
D31,1N4148,D_SOD-323,93.98,-78.74,10.0,bottom
D32,1N4148,D_SOD-323,91.1,-96.52,10.0,bottom
D34,1N4148,D_SOD-323,248.9,-50.1,350.0,bottom
D35,1N4148,D_SOD-323,252.3,-69.0,350.0,bottom
D36,1N4148,D_SOD-323,255.5,-87.6,350.0,bottom
D37,1N4148,D_SOD-323,238.4,-100.3,350.0,bottom
D4,1N4148,D_SOD-323,194.3,-69.4,350.0,bottom
D40,1N4148,D_SOD-323,116.84,-53.34,10.0,bottom
D41,1N4148,D_SOD-323,114.064048,-72.572331,10.0,bottom
D42,1N4148,D_SOD-323,110.49,-91.44,10.0,bottom
D43,1N4148,D_SOD-323,125.73,-121.2,10.0,bottom
D45,1N4148,D_SOD-323,295.6,-95.2,350.0,bottom
D46,1N4148,D_SOD-323,278.5,-107.9,350.0,bottom
D47,1N4148,D_SOD-323,258.8,-106.3,350.0,bottom
D5,1N4148,D_SOD-323,197.7,-88.2,350.0,bottom
D50,1N4148,D_SOD-323,135.2,-66.222331,10.0,bottom
D51,1N4148,D_SOD-323,131.9,-84.0,10.0,bottom
D52,1N4148,D_SOD-323,128.724932,-102.687669,10.0,bottom
D53,1N4148,D_SOD-323,159.028,-112.522,0.0,bottom
D54,1N4148,D_SOD-323,268.5,-51.6,350.0,bottom
D56,1N4148,D_SOD-323,271.9,-70.4,350.0,bottom
D57,1N4148,D_SOD-323,275.1,-89.1,350.0,bottom
D6,1N4148,D_SOD-323,200.875068,-106.886519,350.0,bottom
D60,1N4148,D_SOD-323,152.4,-78.74,10.0,bottom
D61,1N4148,D_SOD-323,148.59,-97.79,10.0,bottom
D62,1N4148,D_SOD-323,145.768739,-115.57,10.0,bottom
D63,1N4148,D_SOD-323,159.028,-115.062,0.0,bottom
D64,1N4148,D_SOD-323,288.9,-57.6,350.0,bottom
D65,1N4148,D_SOD-323,292.3,-76.5,350.0,bottom
D7,1N4148,D_SOD-323,173.76,-112.522,180.0,bottom
DI0,1N4148,D_SOD-323,158.97,-92.202,0.0,bottom
DI1,1N4148,D_SOD-323,158.97,-94.742,0.0,bottom
DI2,1N4148,D_SOD-323,158.97,-97.282,0.0,bottom
DI3,1N4148,D_SOD-323,158.97,-99.822,0.0,bottom
DI4,1N4148,D_SOD-323,158.97,-102.362,0.0,bottom
DI5,1N4148,D_SOD-323,158.97,-104.902,0.0,bottom
DI6,1N4148,D_SOD-323,158.97,-107.442,0.0,bottom
DI7,1N4148,D_SOD-323,158.97,-109.982,0.0,bottom
DS0,1N4148,D_SOD-323,173.76,-92.202,180.0,bottom
DS1,1N4148,D_SOD-323,173.76,-94.742,180.0,bottom
DS2,1N4148,D_SOD-323,173.76,-97.282,180.0,bottom
DS3,1N4148,D_SOD-323,173.76,-99.822,180.0,bottom
DS4,1N4148,D_SOD-323,173.76,-102.362,180.0,bottom
DS5,1N4148,D_SOD-323,173.76,-104.902,180.0,bottom
DS6,1N4148,D_SOD-323,173.76,-107.442,180.0,bottom
DS7,1N4148,D_SOD-323,173.76,-109.982,180.0,bottom
L1,SK6812MINI,SK6812_mini_e_corners,186.050635,-63.501519,170.0,bottom
L10,SK6812MINI,SK6812_mini_e_corners,223.582635,-56.901519,170.0,bottom
L11,SK6812MINI,SK6812_mini_e_corners,206.450635,-69.501519,170.0,bottom
L12,SK6812MINI,SK6812_mini_e_corners,189.382635,-82.301519,170.0,bottom
L13,SK6812MINI,SK6812_mini_e_corners,192.782635,-100.901519,170.0,bottom
L14,SK6812MINI,SK6812_mini_e_corners,209.782635,-88.301519,170.0,bottom
L15,SK6812MINI,SK6812_mini_e_corners,226.882635,-75.501519,170.0,bottom
L16,SK6812MINI,SK6812_mini_e_corners,247.282635,-81.401519,170.0,bottom
L17,SK6812MINI,SK6812_mini_e_corners,266.982635,-83.101519,170.0,bottom
L18,SK6812MINI,SK6812_mini_e_corners,287.382635,-89.101519,170.0,bottom
L19,SK6812MINI,SK6812_mini_e_corners,270.182635,-101.701519,170.0,bottom
L2,SK6812MINI,SK6812_mini_e_corners,203.182635,-50.701519,170.0,bottom
